condition,model,language,r,r_mean,r_se,r_random,r_mean_random,r_se_random
experimental,nllb200_distilled_600M,Arabic,"[0.1963638612051292, 0.414211555326463, 0.057249271373473666]",0.22260822930168864,0.08481626309437545,"[0.01328800746011813, 0.06863575229026486, 0.0038702157598418524]",0.028597991836741613,0.016495389232737
experimental,nllb200_distilled_1B,Arabic,"[0.3276294574246257, 0.37758003952591096, -0.16549694248655794]",0.17990418482132622,0.14150007398681397,"[0.050308712657673005, 0.012208297784125258, -0.00426510773500571]",0.019417300902264182,0.013195561227853111
experimental,nllb200_1B,Arabic,"[0.30779809475309994, 0.3578004585885368, 0.08815953694277573]",0.25125269676147083,0.06761754075849069,"[0.08440042531663636, 0.04789825451381817, 0.022261944763856425]",0.05152020819810365,0.014720632555252241
experimental,xlm_align,Arabic,"[0.3617753146495828, 0.032105461903109506, 0.18448388940721008]",0.19278822198663412,0.07777785232765688,"[0.013789302359670304, 0.017013830570991494, 0.002716757932056644]",0.01117329695423948,0.0035350368447451975
experimental,infoxlm_base,Arabic,"[0.28262324710902054, 0.2109140406981935, 0.2338365101023427]",0.2424579326365189,0.01726460261731597,"[0.0763490348694058, 0.0006151817651056588, -0.04130997810267056]",0.011884746177280296,0.028111536362303183
experimental,infoxlm_large,Arabic,"[0.20109594280456278, 0.12776327136747173, 0.018909464982141994]",0.11592289305139218,0.043212971546196556,"[0.06696324369110979, -0.010173033629131235, -0.08491744207397481]",-0.009375744003998751,0.03580010065217959
experimental,multiminilm,Arabic,"[0.4997393900616771, 0.08902309533976568, -0.020952455177954132]",0.18927001007449626,0.1293720580858318,"[-0.0038798388885219037, -0.030218771640060024, -0.10123386921407279]",-0.04511082658088491,0.023738303695024585
experimental,xlmr_base,Arabic,"[0.26908487852767865, 0.022967870130568585, 0.06584411185170974]",0.119298953503319,0.061979316491847604,"[-0.04141860120311858, 0.0897390541106681, -0.14821314957044798]",-0.03329756555429949,0.05618377825233085
experimental,xlmr_large,Arabic,"[0.3356361982184646, -0.08387145539989807, 0.0708001043919778]",0.10752161573684811,0.10000891061154348,"[0.06859118941369446, -0.019426874197403653, -0.0693074611102343]",-0.006714381964647828,0.03291475538132495
experimental,distilmbert,Arabic,"[0.3673458743510512, 0.07528829306257007, -0.07252664536557918]",0.12336917401601404,0.10552070543042862,"[0.16918769044756268, -0.02088054644349889, 0.0355674792772052]",0.06129154109375634,0.046013957268964685
experimental,bert_base,Arabic,"[0.3970582124140891, 0.17595836024295683, 0.007752936329223942]",0.19358983632875662,0.09204202084869398,"[0.0842631985491199, 0.027555654270142234, 0.07441705125246675]",0.06207863469057629,0.014283742016550012
experimental,mdeberta,Arabic,"[-0.030271800260053022, 0.13689253081566957, 0.06812102003607884]",0.058247250197231794,0.03960666861392955,"[-0.01085867173855833, -0.07848317970462285, -0.03258726994406833]",-0.040643040462416506,0.01627499853829177
experimental,mt5_small,Arabic,"[0.1395505114316744, 0.06411004325444841, 0.04886741542532831]",0.08417599003715037,0.02289025819250877,"[0.052259972141243796, 0.045403378762489344, -0.03165223874360015]",0.022003704053377662,0.021964483281803487
experimental,mt5_base,Arabic,"[0.22287275735328144, -0.04220597826486722, 0.0684448484163666]",0.08303720916826028,0.06276302301951037,"[0.059205485909689715, 0.032505149550466045, 0.02270614177713941]",0.03813892574576506,0.008905118455642637
experimental,mt5_large,Arabic,"[0.2697902713157892, -0.13071103968453288, 0.015303880559339803]",0.05146103739686538,0.09554618431961959,"[0.026916220096278885, -0.020591580000207298, -0.02679361047791739]",-0.006822990127281933,0.013851329863100064
experimental,mgpt,Arabic,"[0.3501377627608099, 0.24903923932156163, 0.37916055950628064]",0.3261125205295507,0.03220006449219404,"[0.20467295966886523, 0.027579958747928127, -0.011250390314861653]",0.07366750936731056,0.05426021666955012
experimental,xglm_small,Arabic,"[0.5244578923138963, 0.13283915359219278, 0.2383372799828089]",0.2985447752962993,0.09552197652714671,"[0.0047943800533619685, 0.0013280788326241952, 0.030536446147766044]",0.012219635011250736,0.007522307398609677
experimental,xglm_med,Arabic,"[0.4234797551352498, 0.09041976151814281, 0.07375148300355286]",0.19588366655231515,0.09299873658741377,"[0.1907618529602724, 0.0406452447185984, 0.007571877675667096]",0.07965965845151263,0.04602230164794704
experimental,xglm_large,Arabic,"[0.3980438105881762, 0.2440252322973702, 0.19144337741182083]",0.27783747343245574,0.05061485395743756,"[0.1586842524153626, -0.007634800784094654, -0.015383262579823129]",0.04522206301714828,0.04635673505502293
experimental,xglm_xl,Arabic,"[0.382629521364773, 0.20365320815426408, 0.1827192417635213]",0.2563339904275195,0.05179549227116254,"[0.08536883394420905, 0.009082940956190944, -0.015117994830548643]",0.026444593356617117,0.02472277816039643
experimental,nllb200_distilled_600M,German,"[0.06364352839066131, -0.03562997366643954]",0.014006777362110888,0.03509848324835634,"[0.04237906771872901, 0.11523870858187213]",0.07880888815030057,0.025759773064572486
experimental,nllb200_distilled_1B,German,"[0.01491228903806864, 0.07798155283315535]",0.04644692093561199,0.02229835205697451,"[0.034329722249595324, 0.10397721340081528]",0.0691534678252053,0.024624106642828845
experimental,nllb200_1B,German,"[0.09465039245241921, 0.02563713592054658]",0.060143764186482894,0.02439987084272697,"[0.07212261128339026, 0.11515573651292996]",0.09363917389816011,0.015214507332728711
experimental,xlm_align,German,"[0.1404846477512981, 0.2233711103963491]",0.1819278790738236,0.029304789902440512,"[-0.02765838804501384, 0.0999016576406116]",0.03612163479779888,0.04509928665638578
experimental,infoxlm_base,German,"[0.031636248615727156, 0.34889459338613793]",0.19026542100093255,0.11216776348758856,"[-0.02518186039095574, 0.08545268878463906]",0.03013541419684166,0.03911521997778982
experimental,infoxlm_large,German,"[0.013436428574622697, 0.2680872421375541]",0.14076183535608838,0.09003265855251001,"[-0.015050702349188726, 0.10520935713499509]",0.045079327392903185,0.04251835178358197
experimental,multiminilm,German,"[0.12982763991307683, 0.22510281417873812]",0.17746522704590748,0.033684860900989565,"[-0.011914089054853375, 0.09842973975639832]",0.04325782535077247,0.039012434807261805
experimental,xlmr_base,German,"[0.180154483144146, 0.22104171414758284]",0.20059809864586442,0.014455819153235513,"[0.0717115987577967, 0.05842054316827496]",0.06506607096303584,0.004699097768239094
experimental,xlmr_large,German,"[0.16681405090154608, 0.2203068510654606]",0.19356045098350333,0.018912560870280412,"[-0.050522790329254275, 0.12244411429503627]",0.035960661982890996,0.06115303559034132
experimental,distilmbert,German,"[0.0992416853700854, -0.02531317385040053]",0.03696425575984244,0.044036792792270685,"[0.02183605823721465, 0.05438767441440048]",0.03811186632580757,0.01150873426873491
experimental,bert_base,German,"[0.16440818339329372, 0.07716057472478324]",0.12078437905903848,0.03084668786590698,"[-0.0294982633878383, 0.051848809635418346]",0.011175273123790023,0.028760533482211015
